And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
So my sister-in-law asked me a few times, "Please stop whistling."	Also hat mich meine Schwägerin ein paar Mal gebeten , mit dem Pfeifen aufzuhören .
And I just couldn't.	Und ich konnte einfach nicht .
And at one point -- and I had some wine, I have to admit that -- at one point I said, "If there was a contest, I would join."	Und irgendwann – ich hatte zugegebenermaßen schon ein bisschen Wein getrunken – da sagte ich: "Wenn es einen Wettbewerb gäbe , würde ich daran teilnehmen ."
And two weeks later I received a text message: "You're going to America."	Und zwei Wochen später bekam ich eine S "Du fährst nach Amerika ."
So, okay, I'm going to America.	Nun gut , ich fahre nach Amerika .
I would love to, but why?	Liebend gerne , aber warum ?
So I immediately called her up, of course.	Also hab ich natürlich sofort angerufen .
She Googled, and she found this World Whistling Championship in America, of course.	Sie hatte gegoogelt und eine Pfeif-Weltmeisterschaft gefunden – natürlich in Amerika .
She didn't expect me to go there.	Sie dachte nicht , dass ich hinfahre .
And I would have lost my face.	Und ich hätte mein Gesicht verloren .
I don't know if that's correct English.	Ich weiß nicht , ob das korrektes Englisch ist .
But the Dutch people here will understand what I mean.	Aber die Niederländer unter Ihnen wissen , was gemeint ist .
I lost my face.	Mir ist das Gesicht runtergefallen .
And she thought, "He will never go there."	Und sie dachte , "Er wird da nie hinfahren ."
But actually I did.	Aber ich bin tatsächlich hingefahren .
So I went to Louisburg, North Carolina, southeast United States, and I entered the world of whistling.	Also bin ich nach Louisburg in North Carolina gereist , im Südosten der USA , und so kam ich zum ersten Mal mit der Welt des Pfeifens in Berührung .
And I also entered the world championship, and I won there in 2004.	Und ich hab 2004 auch an der Weltmeisterschaft teilgenommen und gewonnen .
That was great fun, of course.	Das war – Das war natürlich sehr lustig .
And to defend my title -- like judokas do and sportsmen -- I thought, well let's go back in 2005, and I won again.	Und um meinen Titel zu verteidigen – wie Judoka und andere Sportler das tun – dachte ich , ich mach das 2005 nochmal , und gewann wieder .
Then I couldn't participate for a few years.	Dann konnte ich ein paar Jahre nicht teilnehmen .
And in 2008 I entered again in Japan, Tokyo, and I won again.	Und bin 2008 wieder angetreten , in Japan , Tokyo , und ich habe wieder gewonnen .
So what happened now is I'm standing here in Rotterdam, in the beautiful city, on a big stage, and I'm talking about whistling.	Und jetzt nun ja , jetzt stehe ich hier in Rotterdam , einer wunderschönen Stadt , auf einer großen Bühne , und erzähle Ihnen was über Pfeifen .
And actually I earn my money whistling at the moment.	Und ich verdiene tatsächlich mein Geld mit Pfeifen , zumindest im Moment .
So I quit my day job as a nurse.	Ich hab meinen Hauptjob als Krankenpfleger aufgegeben .
And I try to live my dream -- well, actually, it was never my dream, but it sounds so good.	Und ich versuche , meinen Traum zu leben – nun ja , eigentlich war es nie ein Traum , aber es klingt einfach zu gut .
Okay, I'm not the only one whistling here.	Okay , aber ich bin nicht der Einzige hier , der pfeifen kann .
You say, "Huh, what do you mean?"	Sie denken sich jetzt: "Häh , von wem spricht der ?"
Well actually, you are going to whistle along.	Nun , Sie werden auch mitpfeifen .
No, you can't.	Nein , können Sie nicht .
Actually it's very simple.	Es ist echt ganz einfach .
The track that I will whistle is called "Fête de la Belle."	Das Stück , das ich pfeife , heißt "Fête de la Belle ."
It's about 80 minutes long.	Es ist ca . 80 Minuten lang .
And I want to first rehearse with you your whistling.	Und zunächst möchte ich mit Ihnen Ihr Pfeifen üben .
So I whistle the tone.	Also , ich pfeife einen Ton .
You whistle the same tone as me.	Sie pfeifen bitte den gleichen Ton wie ich .
I heard a wide variety of tones.	Ich habe da verschiedene Töne gehört .
This is very promising.	Das ist sehr vielversprechend .
This is very promising.	Das ist sehr vielversprechend .
I'll ask the technicians to start the music.	Ich werde die Techniker bitten , die Musik zu starten .
And if it's started, I just point where you whistle along, and we will see what happens.	Und wenn sie läuft , geb ich Ihnen ein Zeichen für Ihren Einsatz , und dann sehen wir einfach , was passiert .
Oh, hah.	Oh , ah ja ,
I'm so sorry, technicians.	tut mir leid , Techniker .
I'm so used to that.	Ich bin das schon so gewohnt .
I start it myself.	Ich starte es einfach selber .
Okay, here it is.	Okay , es geht los .
It's easy, isn't it?	Ganz einfach , oder ?
Max Westerman: Geert Chatrou, the World Champion [of] Whistling.	Max Westerman: Geert Chatrou , der Weltmeister im Pfeifen .
I'm here to show you how something you can't see can be so much fun to look at.	Ich möchte Ihnen zeigen , wie etwas Unsichtbares so schön anzuschauen sein kann .
You're about to experience a new, available and exciting technology that's going to make us rethink how we waterproof our lives.	Gleich erleben Sie eine neue , bereits existierende und aufregende Technologie , die uns ganz neu über Wasserfestigkeit nachdenken lässt .
What I have here is a cinder block that we've coated half with a nanotechnology spray that can be applied to almost any material.	Hier ist ein Betonschalstein , der zur Hälfte mit einem nanotechnologischen Spray , das fast auf jedem Material anwendbar ist , bedeckt ist .
It's called Ultra-Ever Dry, and when you apply it to any material, it turns into a superhydrophobic shield.	Es heißt Ultra-Ever Dry und bildet , auf ein Material aufgebracht , einen superhydrophobischen Schild .
So this is a cinder block, uncoated, and you can see that it's porous, it absorbs water.	Diese Hälfte hier ist unbehandelt . Der Beton ist porös und absorbiert Wasser .
Not anymore.	Aber nicht hier .
Porous, nonporous.	Porös , nicht porös .
So what's superhydrophobic?	Was bedeutet superhydrophobisch ?
Superhydrophobic is how we measure a drop of water on a surface.	So messen wir einen Wassertropfen auf einer Oberfläche .
The rounder it is, the more hydrophobic it is, and if it's really round, it's superhydrophobic.	Je runder er ist , desto hydrophobischer ist er . Wenn er ganz rund ist , ist er superhydrophobisch .
A freshly waxed car, the water molecules slump to about 90 degrees.	Bei einem frisch gewachsten Auto rutscht das Wasser bei Winkeln bis 90° ab .
A windshield coating is going to give you about 110 degrees.	Eine imprägnierte Windschutzscheibe erhöht das auf 110° .
But what you're seeing here is 160 to 175 degrees, and anything over 150 is superhydrophobic.	Aber das hier sind 160-175° , und alles über 150° ist superhydrophobisch .
So as part of the demonstration, what I have is a pair of gloves, and we've coated one of the gloves with the nanotechnology coating, and let's see if you can tell which one, and I'll give you a hint.	Als Teil der Demonstration habe ich ein Paar Handschuhe . Einer der Handschuhe ist mit der Nanotechnologie behandelt . Vielleicht finden Sie ja heraus , welcher . Ich gebe Ihnen einen Tipp .
Did you guess the one that was dry?	Haben Sie den trockenen entdeckt ?
When you have nanotechnology and nanoscience, what's occurred is that we're able to now look at atoms and molecules and actually control them for great benefits.	Nanotechnologie und Nanowissenschaft lassen uns Atome und Moleküle regelrecht steuern und daraus Vorteile gewinnen .
And we're talking really small here.	Es geht hier also um superkleine Dinge .
The way you measure nanotechnology is in nanometers, and one nanometer is a billionth of a meter, and to put some scale to that, if you had a nanoparticle that was one nanometer thick, and you put it side by side, and you had 50,000 of them, you'd be the width of a human hair.	Nanotechnologie wird in Nanometern gemessen , also ein Milliardstel Meter . Setzen wir das in einen Maßstab , nehmen wir einen Nanopartikel mit einem Nanometer Dicke und legen 50 .000 davon nebeneinander , hätten wir die Dicke eines menschlichen Haars .
So very small, but very useful.	Ungeheuer klein , aber ungeheuer nützlich .
And it's not just water that this works with.	Und das funktioniert nicht nur mit Wasser .
It's a lot of water-based materials like concrete, water-based paint, mud, and also some refined oils as well.	Es geht mit vielen wasserbasierten Materialien: Beton , wasserlösliche Farbe , Schlamm und auch einige raffinierte Öle .
You can see the difference.	Hier sehen Sie den Unterschied .
Moving onto the next demonstration, we've taken a pane of glass and we've coated the outside of it, we've framed it with the nanotechnology coating, and we're going to pour this green-tinted water inside the middle, and you're going to see, it's going to spread out on glass like you'd normally think it would, except when it hits the coating, it stops, and I can't even coax it to leave.	Auf zur nächsten Demonstration . Wir haben eine Glasscheibe von außen mit der Nanotechnologie beschichtet und gießen nun dieses grüngefärbte Wasser in die Mitte . Sie sehen , dass es sich normal über der Oberfläche verteilt , wie es das bei Glas tut , aber an der Beschichtung hört es auf und will von einfach nicht weiter .
It's that afraid of the water.	Es hat regelrecht Angst .
Well, the surface of the spray coating is actually filled with nanoparticles that form a very rough and craggly surface.	Die Oberfläche der Spraybeschichtung ist mit Nanopartikeln gefüllt , die eine sehr schroffe Oberfläche bilden .
You'd think it'd be smooth, but it's actually not.	Man könnte sie für glatt halten , sie ist es aber nicht .
And it has billions of interstitial spaces, and those spaces, along with the nanoparticles, reach up and grab the air molecules, and cover the surface with air.	Und Milliarden von Zwischenräumen greifen zusammen mit den Nanopartikeln nach den Luftmolekülen und bedecken die Oberfläche mit Luft .
It's an umbrella of air all across it, and that layer of air is what the water hits, the mud hits, the concrete hits, and it glides right off.	Als wäre ein Regenschirm aus Luft darüber , auf den das Wasser , der Schlamm , der Beton trifft , und sie rutschen davon ab .
So if I put this inside this water here, you can see a silver reflective coating around it, and that silver reflective coating is the layer of air that's protecting the water from touching the paddle, and it's dry.	Wenn ich das hier ins Wasser tauche , sehen Sie eine silberne Beschichtung und diese Beschichtung ist die Luftschicht , die das Wasser vom Benetzen des Paddels abhält . Es bleibt trocken .
So what are the applications?	Wie kann man das anwenden ?
I mean, many of you right now are probably going through your head.	Einige von Ihnen machen bestimmt gerade eine Liste .
Everyone that sees this gets excited, and says, "Oh, I could use it for this and this and this."	Alle , die das sehen , sind begeistert und sagen: "Oh , ich könnte es für dies und das einsetzen ."
The applications in a general sense could be anything that's anti-wetting.	Allgemein eignet sich die Anwendung für alles , das nicht nass werden soll .
We've certainly seen that today.	Das haben wir heute gesehen ,
It could be anything that's anti-icing, because if you don't have water, you don't have ice.	also zum Beispiel Vereisungsschutz , denn ohne Wasser gibt es kein Eis .
It could be anti-corrosion.	Oder Korrosionsschutz .
No water, no corrosion.	Kein Wasser , keine Korrosion .
It could be anti-bacterial.	Antibakterielle Anwendungen .
Without water, the bacteria won't survive.	Ohne Wasser können Bakterien nicht überleben .
And it could be things that need to be self-cleaning as well.	Und man könnte es für selbstreinigende Dinge verwenden .
So imagine how something like this could help revolutionize your field of work.	Stellen Sie sich vor , wie so etwas Ihr Berufsfeld revolutionieren könnte .
And I'm going to leave you with one last demonstration, but before I do that, I would like to say thank you, and think small.	Und ich zeige Ihnen noch eine letzte Demonstration , aber zuerst möchte ich mich bedanken , und: Immer schön klein denken .
You guys didn't hear about us cutting out the Design from TED?	Habt ihr nicht gehört , dass TED Design gestrichen hat ?
It's happening!	Es klappt !
I want to talk to you today a little bit about predictable irrationality.	Ich würde heute gerne ein wenig über vorhersehbare Irrationalität sprechen .
And my interest in irrational behavior started many years ago in the hospital.	Mein Interesse an irrationalem Verhalten begann vor vielen Jahren im Krankenhaus .
I was burned very badly.	Ich hatte damals schwere Verbrennungen ,
And if you spend a lot of time in hospital, you'll see a lot of types of irrationalities.	und wenn man lange Zeit im Krankenhaus ist , begegnet man vielen Arten von Irrationalität .
And the one that particularly bothered me in the burn department was the process by which the nurses took the bandage off me.	Was mich auf der Verbrennungsstation immer am meisten gestört hat war , wie die Krankenschwestern meine Verbände gewechselt haben .
Now, you must have all taken a Band-Aid off at some point, and you must have wondered what's the right approach.	Jeder von Ihnen hat schon mal ein Heftpflaster abgenommen und sich dabei irgendwann gefragt , was wohl besser sei:
Do you rip it off quickly -- short duration but high intensity -- or do you take your Band-Aid off slowly -- you take a long time, but each second is not as painful -- which one of those is the right approach?	Soll man es schnell abreißen -- Der Schmerz ist dann nur kurz aber dafür sehr intensiv -- oder es stattdessen langsam abziehen -- was zwar länger dauert , aber jeden einzelnen Moment erträglicher macht . Welches ist der richtige Ansatz ?
The nurses in my department thought that the right approach was the ripping one, so they would grab hold and they would rip, and they would grab hold and they would rip.	Die Schwestern auf meiner Station dachten , der richtige Ansatz wäre das Abreißen , also haben sie festgehalten und abgerissen , und festgehalten und abgerissen .
And because I had 70 percent of my body burned, it would take about an hour.	Und weil ich Verbrennungen an 70% meines Körpers hatte , dauerte das Ganze etwa eine Stunde .
And as you can imagine, I hated that moment of ripping with incredible intensity.	Wie Sie sich vorstellen können , habe ich den Moment des Abreißens unglaublich gehasst .
And the nurses told me two things.	Darauf sagten die Schwestern mir zwei Dinge .
They told me that they had the right model of the patient -- that they knew what was the right thing to do to minimize my pain -- and they also told me that the word patient doesn't mean to make suggestions or to interfere or ...	Sie sagten mir erstens , sie hätten das richtige Modell vom Patienten -- daß sie wüßten , was das Richtige sei um den Schmerz gering zu halten -- Und dann sagten sie mir , die Bedeutung des Wortes "Patient" habe nichts damit zu tun , Ratschläge zu geben , oder sich einzumischen , oder . . .
This is not just in Hebrew, by the way.	Das ist übrigens nicht nur im Hebräischen so ,
It's in every language I've had experience with so far.	sondern in jeder Sprache , mit der ich bis jetzt zu tun hatte .
And, you know, there's not much -- there wasn't much I could do, and they kept on doing what they were doing.	Und , wissen Sie , es gibt nicht viel -- es gab nicht viel , was ich tun konnte , also machten sie weiter mit dem was sie machten .
And about three years later, when I left the hospital, I started studying at the university.	Als ich dann etwa drei Jahre später aus dem Krankenhaus entlassen wurde , habe ich angefangen , an der Universität zu studieren
And one of the most interesting lessons I learned was that there is an experimental method that if you have a question you can create a replica of this question in some abstract way, and you can try to examine this question, maybe learn something about the world.	und eins der interessantesten Dinge , die ich dort gelernt habe war , daß es eine wissenschaftliche Methode gibt in der man eine Frage die man hat auf abstrakte Weise neu stellt und durch die Untersuchung dieser neuen Frage vielleicht etwas über die Welt erfahren kann .
So that's what I did.	Genau das habe ich also getan .
I was still interested in this question of how do you take bandages off burn patients.	Mich interessierte nämlich noch immer die Frage , wie man Verbrennungspatienten am besten die Verbände abnimmt .
So originally I didn't have much money, so I went to a hardware store and I bought a carpenter's vice.	Am Anfang hatte ich nicht viel Geld , also ging ich in einen Werkzeugladen und kaufte mir einen Schraubstock .
And I would bring people to the lab and I would put their finger in it, and I would crunch it a little bit.	Dann habe ich Leute in mein Labor gebracht , ihre Finger eingespannt und ihn ein bißchen gequetscht .
And I would crunch it for long periods and short periods, and pain that went up and pain that went down, and with breaks and without breaks -- all kinds of versions of pain.	Ich habe manchmal länger gequetscht und manchmal kürzer , manchmal mit ansteigendem Schmerz , manchmal mit absteigendem , mal mit Pause , mal ohne Pause - jede Art und Weise von Schmerz .
Or, if you had to choose between the last two, which one would you choose?	Oder , "Wenn sie sich zwischen den letzten beiden entscheiden müßten , Welchen Schmerz würden Sie wählen ?"
I kept on doing this for a while.	Das habe ich eine Zeit lang so betrieben .
And then, like all good academic projects, I got more funding.	Und dann bekam ich , wie jedes gute akademische Projekt , mehr Geld zugesprochen .
I moved to sounds, electrical shocks -- I even had a pain suit that I could get people to feel much more pain.	Ich beschäftigte mich mit Geräuschen , Elektroschocks -- Ich hatte sogar einen Schmerzanzug , mit dem ich sehr starke Schmerzen verursachen konnte .
But at the end of this process, what I learned was that the nurses were wrong.	Am Ende dieses Prozesses hat sich dann herausgestellt , daß die Krankenschwestern unrecht hatten .
Here were wonderful people with good intentions and plenty of experience, and nevertheless they were getting things wrong predictably all the time.	Sicherlich waren sie wundervolle Menschen mit guten Absichten und großer Erfahrung , aber trotzdem haben sie ständig und vorhersehbar die selben Fehler wiederholt .
It turns out that because we don't encode duration in the way that we encode intensity, I would have had less pain if the duration would have been longer and the intensity was lower.	Wie sich herausstellt , nehmen wir nämlich die Länge des Schmerzes und seine Intensität unterschiedlich wahr , weswegen ich weniger Schmerzen gehabt hätte , wenn es zwar länger wehgetan hätte aber dafür nicht so sehr .
It turns out it would have been better to start with my face, which was much more painful, and move toward my legs, giving me a trend of improvement over time -- that would have been also less painful.	Es wäre auch besser gewesen , mit meinem Gesicht anzufangen , weil es da sehr weh getan hat , und sich zu meinen Beinen vorzuarbeiten damit der Schmerz im Laufe der Zeit geringer wird -- auch das wäre weniger schmerzhaft gewesen .
And it also turns out that it would have been good to give me breaks in the middle to kind of recuperate from the pain.	Wir haben auch herausgefunden daß es gut gewesen wäre , hätte man mir zwischendurch Pausen gegeben um mich vom Schmerz zu erholen .
All of these would have been great things to do, and my nurses had no idea.	Alles tolle Sachen , die man mit mir hätte machen können , aber meine Pfleger hatten keine Ahnung .
And from that point on I started thinking, are the nurses the only people in the world who get things wrong in this particular decision, or is it a more general case?	Und dieser Punkt gab mir zu denken: Sind Krankenschwestern die einzigen auf der Welt , die sich in diesem Punkt täuschen , oder ist die Fehleinschätzung weiter verbreitet ?
And it turns out it's a more general case -- there's a lot of mistakes we do.	Wie sich herausstellt , ist sie weiter verbreitet -- Wir machen viele Fehler .
And I want to give you one example of one of these irrationalities, and I want to talk to you about cheating.	Ich möchte Ihnen ein Beispiel für solcherlei Irrationalität geben und mit Ihnen über Betrug reden .
And the reason I picked cheating is because it's interesting, but also it tells us something, I think, about the stock market situation we're in.	Ich beschäftige mich mit dem Betrügen weil es interessant ist , uns aber auch , wie ich meine , etwas über die gegenwärtige Börsenlage erzählen kann .
So, my interest in cheating started when Enron came on the scene, exploded all of a sudden, and I started thinking about what is happening here.	Mein Interesse am Betrügen begann als Enron die Bühne betrat und plötzlich explodierte und ich mich zu fragen begann , was gerade passiert war .
Is it the case that there was kind of a few apples who are capable of doing these things, or are we talking a more endemic situation, that many people are actually capable of behaving this way?	Gab es nur einige wenige schwarze Schafe die zu solchen Dingen fähig waren , oder war die Situation eher eine endemische ? Waren viele Menschen in der Lage , sich so zu verhalten ?
So, like we usually do, I decided to do a simple experiment.	Also begann ich wie so oft mit einem einfachen Experiment .
And here's how it went.	Und das sah so aus .
If you were in the experiment, I would pass you a sheet of paper with 20 simple math problems that everybody could solve, but I wouldn't give you enough time.	Wenn Sie in meinem Experiment waren , hätten Sie von mir ein Blatt Papier mit 20 einfachen Mathematikaufgaben bekommen , die jeder lösen kann -- aber ich hätte Ihnen nicht genug Zeit gegeben .
When the five minutes were over, I would say, "Pass me the sheets of paper, and I'll pay you a dollar per question."	Nach fünf Minuten hätte ich gesagt: "Geben Sie mir ihre Blätter und ich zahle Ihnen einen Dollar pro gelöster Aufgabe ."
Other people I would tempt to cheat.	Andere habe ich zum Schummeln verleitet .
I would pass their sheet of paper.	Ich habe ihnen die Blätter ausgeteilt
People now solved seven questions on average.	Und siehe da , plötzlich hat der Durchschnitt sieben Fragen beantwortet .
Now, it wasn't as if there was a few bad apples -- a few people cheated a lot.	Es ist nicht so , als gäbe es wenige schwarze Schafe -- als betrögen wenige Leute und diese dafür sehr viel .
Instead, what we saw is a lot of people who cheat a little bit.	Wir sahen stattdessen daß viele Leute betrügen , jeder von ihnen aber nur ein bißchen .
Now, in economic theory, cheating is a very simple cost-benefit analysis.	In der Wirtschaftstheorie ist Betrug nur eine einfache Kosten-Nutzen-Rechnung .
You say, what's the probability of being caught?	Wie hoch ist die Wahrscheinlichkeit , erwischt zu werden ?
How much do I stand to gain from cheating?	Wieviel wird es mir nützen , zu betrügen ?
And how much punishment would I get if I get caught?	Und wie schlimm wäre die Strafe , falls ich erwischt würde ?
And you weigh these options out -- you do the simple cost-benefit analysis, and you decide whether it's worthwhile to commit the crime or not.	Man wägt diese Fragen gegeneinander ab -- eben eine ganz einfache Kosten-Nutzen-Rechnung -- und entscheidet dann , ob es sich lohnt , ein Verbrechen zu begehen oder nicht .
So, we try to test this.	Also versuchten wir das zu überprüfen .
For some people, we varied how much money they could get away with -- how much money they could steal.	Bei manchen Testpersonen variierten wir , mit wieviel Geld sie davonkommen konnten -- Wieviel Geld sie stehlen durften .
We paid them 10 cents per correct question, 50 cents, a dollar, five dollars, 10 dollars per correct question.	Wir zahlten ihnen 10 cent pro richtiger Frage , 50 cent , einen Dollar , fünf Dollar , 10 Dollar pro richtiger Frage .
You would expect that as the amount of money on the table increases, people would cheat more, but in fact it wasn't the case.	Man könnte annehmen , daß , sobald die Summen höher wurden auch mehr betrogen wurde - aber dem war nicht so .
We got a lot of people cheating by stealing by a little bit.	Die meisten Leute betrogen und stahlen nur ein wenig .
What about the probability of being caught?	Was ist mit der Wahrscheinlichkeit , erwischt zu werden ?
Some people shredded half the sheet of paper, so there was some evidence left.	Manche haben nur ihr halbes Arbeitsblatt zerrissen es waren also noch Beweise übrig .
Some people shredded the whole sheet of paper.	Andere haben ihr ganzes Arbeitsblatt zerrissen .
Some people shredded everything, went out of the room, and paid themselves from the bowl of money that had over 100 dollars.	Andere haben alles zerrissen und gingen aus dem Zimmer um sich draußen aus einer Geldschale zu bedienen , in der mehr als 100 Dollar lagen .
You would expect that as the probability of being caught goes down, people would cheat more, but again, this was not the case.	Man könnte erwarten , daß Leute häufiger betrügen , sobald die Wahrscheinlichkeit erwischt zu werden , geringer wird - aber wieder war das nicht der Fall .
Again, a lot of people cheated by just by a little bit, and they were insensitive to these economic incentives.	Wieder haben viele Leute nur ein klein wenig betrogen ohne sich dabei um die ökonomischen Anreize zu kümmern .
So we said, "If people are not sensitive to the economic rational theory explanations, to these forces, what could be going on?"	Also fragten wir uns , wenn die Leute offenbar der rationalen Entscheidungstheorie und ihren Kräften nicht unterliegen , was geht hier dann vor sich ?
And we thought maybe what is happening is that there are two forces.	Und wir kamen auf die Idee , daß es ja vielleicht zwei Kräfte gibt .
At one hand, we all want to look at ourselves in the mirror and feel good about ourselves, so we don't want to cheat.	Einerseits wollen wir uns alle im Spiegel betrachten können und uns dabei gut fühlen , also wollen wir nicht betrügen .
On the other hand, we can cheat a little bit, and still feel good about ourselves.	Anderseits könnten wir ein klein wenig schummeln und uns immer noch gut fühlen .
So, maybe what is happening is that there's a level of cheating we can't go over, but we can still benefit from cheating at a low degree, as long as it doesn't change our impressions about ourselves.	Vielleicht ist es ja so , daß es eine gewisse Schummelgrenze gibt die wir nicht übertreten wollen , während wir trotzdem gerne von kleinen Betrügereien profitieren solange diese unser Selbstbild nicht verschlechtern .
We call this like a personal fudge factor.	Wir nennen das den persönlichen Schummelfaktor .
Now, how would you test a personal fudge factor?	Wie kann man so einen Schummelfaktor testen ?
Initially we said, what can we do to shrink the fudge factor?	Zuerst haben wir gesehen , wie man den Fuffziger-Faktor verkleinern kann .
So, we got people to the lab, and we said, "We have two tasks for you today."	Wir haben uns Leute ins Labor geholt und ihnen gesagt , wir hätten zwei Aufgaben für sie .
First, we asked half the people to recall either 10 books they read in high school, or to recall The Ten Commandments, and then we tempted them with cheating.	Zunächst haben wir die Hälfte der Probanden gebeten , 10 Buchtitel aus ihrer Schulzeit aufzuzählen und die anderen , die Zehn Gebote zu rezitieren . Dann haben wir sie in Versuchung geführt , zu schummeln .
Turns out the people who tried to recall The Ten Commandments -- and in our sample nobody could recall all of The Ten Commandments -- but those people who tried to recall The Ten Commandments, given the opportunity to cheat, did not cheat at all.	Interessanterweise hat die Gruppe , die versucht hat die Zehn Gebote zu rezitieren -- in unserem Versuch hat es übrigens niemand geschafft , sich an alle Zehn zu erinnern -- aber die , die versucht haben die Zehn Gebote wiederzugeben , haben , selbst wenn man ihnen die Chance gegeben hat zu betrügen , überhaupt nicht geschummelt .
It wasn't that the more religious people -- the people who remembered more of the Commandments -- cheated less, and the less religious people -- the people who couldn't remember almost any Commandments -- cheated more.	Es war nicht so , daß die religiöseren Personen -- die , die mehr Gebote gewußt haben -- weniger betrogen hätten und daß die weniger religiösen -- diejenigen , die sich an fast gar keine Gebote erinnern konnten -- mehr betrogen hätten .
The moment people thought about trying to recall The Ten Commandments, they stopped cheating.	Es war so , daß alle Probanden , sobald sie sich an die Zehn Gebote erinnern sollten , einfach aufgehört haben zu betrügen .
In fact, even when we gave self-declared atheists the task of swearing on the Bible and we give them a chance to cheat, they don't cheat at all.	Wir haben sogar einige bekennende Atheisten gebeten auf die Bibel zu schwören und ihnen dabei die Möglichkeit gegeben zu schwindeln: sie taten es nicht .
Now, Ten Commandments is something that is hard to bring into the education system, so we said, "Why don't we get people to sign the honor code?"	Die Zehn Gebote sind allerdings nur schwierig mit dem Bildungssystem vereinbar , also haben wir uns überlegt , warum wir nicht von Leuten verlangen , einen Ehrenkodex zu unterschreiben .
So, we got people to sign, "I understand that this short survey falls under the MIT Honor Code."	Also baten wir sie , folgendes zu unterschreiben: "Ich bin mir im Klaren darüber , daß diese Untersuchung dem Ehrenkodex des MIT unterliegt ."
And this is particularly interesting, because MIT doesn't have an honor code.	Das ist vor allem deswegen interessant , weil das MIT überhaupt keinen Ehrenkodex hat .
So, all this was about decreasing the fudge factor.	So haben wir versucht , den Schummelfaktor gering zu halten .
What about increasing the fudge factor?	Wie kann man ihn vergrößern ?
The first experiment -- I walked around MIT and I distributed six-packs of Cokes in the refrigerators -- these were common refrigerators for the undergrads.	Für das erste Experiment bin ich durch das MIT gelaufen und habe Sechserpacks Cola in den Kühlschränken verteilt -- das waren öffentliche Kühlschränke für die Studenten .
And I came back to measure what we technically call the half-lifetime of Coke -- how long does it last in the refrigerators?	Später kam ich zurück um zu messen , was wir im Fachjargon die Halbwertszeit von Cola nennen - wie lange hält sie sich im Kühlschrank ?
As you can expect it doesn't last very long; people take it.	Wie Sie sich vorstellen können , hält sie nicht sehr lange - Leute nehmen sie sich .
In contrast, I took a plate with six one-dollar bills, and I left those plates in the same refrigerators.	Zum Gegensatz dazu nahm ich einen Teller mit sechs Ein-Dollar-Scheinen und stellte solche Teller in die selben Kühlschränke .
No bill ever disappeared.	Kein einziger Geldschein ist jemals verschwunden .
Now, this is not a good social science experiment, so to do it better I did the same experiment as I described to you before.	Das ist aber kein gutes sozialwissenschaftliches Experiment , also haben wir das Experiment von zuvor verbessert und nochmals wiederholt:
A third of the people we passed the sheet, they gave it back to us.	Ein Drittel der Probanden denen wir die Zettel gegeben haben , gab ihn uns zurück
We did not pay them with dollars; we paid them with something else.	Wir haben Ihnen kein Geld gegeben , sondern Marken ,
And then they took the something else, they walked 12 feet to the side, and exchanged it for dollars.	und dann mußten sie diese Marken nehmen und ein paar Meter weiter gehen wo sie sie in echte Dollars eintauschen konnten .
Think about the following intuition.	Denken Sie einmal über das Folgende nach:
How bad would you feel about taking a pencil from work home, compared to how bad would you feel about taking 10 cents from a petty cash box?	Wie schlecht fühlen Sie sich , wenn sie einen Stift von Ihrer Arbeit mit nach Hause nehmen und wie schlecht wenn sie 10 cent aus einer Kleingelddose stehlen ?
These things feel very differently.	Diese Dinge fühlen sich sehr unterschiedlich an .
Would being a step removed from cash for a few seconds by being paid by token make a difference?	Wenn man also für ein paar Sekunden nicht direkt an Geld denkt weil man eine Marke bekommt , macht das einen Unterschied ?
Our subjects doubled their cheating.	Unsere Testpersonen haben doppelt so viel betrogen .
I'll tell you what I think about this and the stock market in a minute.	Ich werde Ihnen gleich erzählen was ich darüber und über die Börse denke .
But this did not solve the big problem I had with Enron yet, because in Enron, there's also a social element.	Aber das hat das größte Problem noch nicht gelöst , das ich in Enron sah , da Enron nämlich ein zusätzliches soziales Element besaß:
People see each other behaving.	Denn Leute können ihr Verhalten gegenseitig beobachten .
In fact, every day when we open the news we see examples of people cheating.	Es ist doch so , daß wir jeden Tag wenn wir die Zeitung öffnen Menschen sehen , die betrügen .
What does this cause us?	Was bedeutet das für uns ?
So, we did another experiment.	Wir dachten uns also ein neues Experiment aus .
We got a big group of students to be in the experiment, and we prepaid them.	Wir haben jede Menge Studenten rekrutiert , an dem Experiment teilzunehmen und sie im Voraus bezahlt .
The same thing happens.	Das Gleiche ist passiert .
When we give people the opportunity to cheat, they cheat.	Wenn wir Menschen die Gelegenheit geben zu betrügen , betrügen sie auch .
They cheat just by a little bit, all the same.	Sie betrügen nur ein klein wenig , aber immerhin .
But in this experiment we also hired an acting student.	Wir haben für dieses Experiment aber auch einen Schauspielschüler engagiert .
So, now we had a student -- an acting student -- that was a part of the group.	Wir hatten also einen Studenten -- einen Schauspielstudenten -- eingeschleust , und ihn zu einem Teil dieser Gruppe gemacht
Nobody knew it was an actor.	in der niemand wußte , daß er ein Schauspieler war .
And they clearly cheated in a very, very serious way.	Und nun hat diese Person ganz offensichtlich einen dreisten Betrug begangen .
